Year,Month,Day,Time,TempF
2023,1,3,7:55,-19.73
2023,1,3,7:35,-19.73
2023,1,3,7:15,-19.73
2023,1,3,6:55,-19.73
2023,1,3,6:35,-19.73
2023,1,3,6:15,-19.73
2023,1,3,5:55,-19.73
2023,1,3,5:35,-19.73
2023,1,3,5:15,-19.73
2023,1,3,4:55,-19.73
2023,1,3,4:35,-19.73
2023,1,3,4:15,-17.73
2023,1,3,3:55,-17.73
2023,1,3,3:35,-17.73
2023,1,3,3:15,-17.73
2023,1,3,2:55,-17.73
2023,1,3,2:35,-17.73
2023,1,3,2:15,-17.73
2023,1,3,1:55,-17.73
2023,1,3,1:35,-17.73
2023,1,3,1:15,-15.73
2023,1,3,0:55,-15.73
2023,1,3,0:35,-15.73
2023,1,3,0:15,-15.73
2023,1,2,23:55,-15.73
2023,1,2,23:35,-15.73
2023,1,2,23:15,-15.73
2023,1,2,22:55,-15.73
2023,1,2,22:35,-15.73
2023,1,2,22:15,-15.73
2023,1,2,21:55,-15.73
2023,1,2,21:35,-15.73
2023,1,2,21:15,-15.73
2023,1,2,20:55,-15.73
2023,1,2,20:35,-13.73
2023,1,2,20:15,-13.73
2023,1,2,19:55,-13.73
2023,1,2,19:35,-13.73
2023,1,2,19:15,-13.73
2023,1,2,18:55,-13.73
2023,1,2,18:35,-13.73
2023,1,2,18:15,-13.73
2023,1,2,17:55,-13.73
2023,1,2,17:35,-13.73
2023,1,2,17:15,-12.73
2023,1,2,16:55,-12.73
2023,1,2,16:35,-12.73
2023,1,2,16:15,-12.73
2023,1,2,15:55,-12.73
2023,1,2,15:35,-12.73
2023,1,2,15:15,-12.73
2023,1,2,14:55,-12.73
2023,1,2,14:35,-12.73
2023,1,2,14:15,-13.73
2023,1,2,13:55,-13.73
2023,1,2,13:35,-12.73
2023,1,2,13:15,-12.73
2023,1,2,12:55,-12.73
2023,1,2,12:35,-13.73
2023,1,2,12:15,-13.73
2023,1,2,11:55,-13.73
2023,1,2,11:35,-13.73
2023,1,2,11:15,-13.73
2023,1,2,10:55,-13.73
2023,1,2,10:35,-13.73
2023,1,2,10:15,-13.73
2023,1,2,9:55,-13.73
2023,1,2,9:35,-13.73
2023,1,2,9:15,-13.73
2023,1,2,8:55,-13.73
2023,1,2,8:35,-13.73
2023,1,2,8:15,-13.73
2023,1,2,7:55,-12.73
2023,1,2,7:35,-12.73
2023,1,2,7:15,-12.73
2023,1,2,6:55,-12.73
2023,1,2,6:35,-12.73
2023,1,2,6:15,-12.73
2023,1,2,5:55,-10.73
2023,1,2,5:35,-10.73
2023,1,2,5:15,-10.73
2023,1,2,4:55,-10.73
2023,1,2,4:35,-10.73
2023,1,2,4:15,-10.73
2023,1,2,3:55,-10.73
2023,1,2,3:35,-10.73
2023,1,2,3:15,-10.73
2023,1,2,2:55,-10.73
2023,1,2,2:35,-10.73
2023,1,2,2:15,-10.73
2023,1,2,1:55,-10.73
2023,1,2,1:35,-10.73
2023,1,2,1:15,-10.73
2023,1,2,0:55,-10.73
2023,1,2,0:35,-8.73
2023,1,2,0:15,-8.73
2023,1,1,23:55,-8.73
2023,1,1,23:35,-8.73
2023,1,1,23:15,-8.73
2023,1,1,22:55,-8.73
2023,1,1,22:35,-8.73
2023,1,1,22:15,-8.73
2023,1,1,21:55,-8.73
2023,1,1,21:35,-8.73
2023,1,1,21:15,-6.73
2023,1,1,20:55,-6.73
2023,1,1,20:35,-6.73
2023,1,1,20:15,-6.73
2023,1,1,19:55,-6.73
2023,1,1,19:35,-6.73
2023,1,1,19:15,-6.73
2023,1,1,18:55,-6.73
2023,1,1,18:35,-6.73
2023,1,1,18:15,-6.73
2023,1,1,17:55,-6.73
2023,1,1,17:35,-6.73
2023,1,1,17:15,-4.73
2023,1,1,16:55,-4.73
2023,1,1,16:35,-4.73
2023,1,1,16:15,-4.73
2023,1,1,15:55,-4.73
2023,1,1,15:35,-4.73
2023,1,1,15:15,-4.73
2023,1,1,14:55,-4.73
2023,1,1,14:35,-4.73
2023,1,1,14:15,-4.73
2023,1,1,13:55,-4.73
2023,1,1,13:35,-4.73
2023,1,1,13:15,-4.73
2023,1,1,12:55,-4.73
2023,1,1,12:35,-4.73
2023,1,1,12:15,-4.73
2023,1,1,11:55,-4.73
2023,1,1,11:35,-4.73
2023,1,1,11:15,-4.73
2023,1,1,10:55,-4.73
2023,1,1,10:35,-4.73
2023,1,1,10:15,-4.73
2023,1,1,9:55,-3.73
2023,1,1,9:35,-3.73
2023,1,1,9:15,-3.73
2023,1,1,8:55,-3.73
2023,1,1,8:35,-3.73
2023,1,1,8:15,-3.73
2023,1,1,7:55,-3.73
2023,1,1,7:35,-3.73
2023,1,1,7:15,-3.73
2023,1,1,6:55,-3.73
2023,1,1,6:35,-3.73
2023,1,1,6:15,-3.73
2023,1,1,5:55,-3.73
2023,1,1,5:35,-3.73
2023,1,1,5:15,-3.73
2023,1,1,4:55,-3.73
2023,1,1,4:35,-3.73
2023,1,1,4:15,-3.73
2023,1,1,3:55,-3.73
2023,1,1,3:35,-3.73
2023,1,1,3:15,-3.73
2023,1,1,2:55,-3.73
2023,1,1,2:35,-3.73
2023,1,1,2:15,-4.73
2023,1,1,1:55,-4.73
2023,1,1,1:35,-4.73
2023,1,1,1:15,-4.73
2023,1,1,0:55,-4.73
2023,1,1,0:35,-4.73
2023,1,1,0:15,-4.73
